,key,val,val
102,Công nghệ thông tin (đào tạo theo cơ chế đặc thù - Hợp tác doanh nghiệp),7480201DT,7480201DT
103,Kỹ thuật Cơ sở hạ tầng (dự kiến mở),7580210,7580210
104,Kỹ thuật hệ thống công nghiệp,7520118,7520118
105,Kỹ thuật môi trường (Chất lượng cao),7520320CLC,7520320CLC
106,Kỹ thuật xây dựng - chuyên ngành Tin học xây dựng,7580201A,7580201A
107,Kỹ thuật xây dựng công trình thủy (Chất lượng cao),7580202CLC,7580202CLC
108,Kỹ thuật cơ sở hạ tầng,7580210,7580210
109,Quản trị kinh doanh chất lượng cao,7340101 CLC,7340101 CLC
110,Tài chính - Ngân hàng chất lượng cao,7340201_CLC,7340201_CLC
111,Kế toán chất lượng cao,7340301 CLC,7340301 CLC
112,Kiểm toán,7340302,7340302
113,Công nghệ kỹ thuật công trình xây dựng,7510102,7510102
114,Công nghệ kỹ thuật cơ điện tử,7510203,7510203
115,"Công nghệ kỹ thuật điện, điện tử chất lượng cao",7510301_CLC,7510301_CLC
116,Công nghệ kỹ thuật điện tử - viễn thông,7510302,7510302
117,Công nghệ kỹ thuật điện tử - viễn thông chất lượng cao,7510302_CLC,7510302_CLC
118,Công nghệ kỹ thuật điều khiển và tự động hóa chất lượng cao,7510303_CLC,7510303_CLC
119,Công nghệ kỹ thuật năng lượng,7510403,7510403
120,Công nghệ kỹ thuật môi trường,7510406,7510406
121,Công nghệ kỹ thuật hạt nhân,QHT05,QHT05
122,Quản lý công nghiệp chất lượng cao,7510601_CLC,7510601_CLC
123,Quản lý năng lượng,7510602,7510602
124,Logistics và Quản lý chuỗi cung ứng,7510605,7510605
125,"Quản trị kinh doanh (Gồm 2 chuyên ìgành: Quản trị doanh nghiệp; Quản trị du lịch, (hách sạn)",7340101,7340101
126,Tai chính - Ngân hảng (Gồm 2 chuyên ngành: Tải chính doanh nghiệp; Ngân hàng),7340201,7340201
127,Tai chính - Ngân hàng chất lượng cao,7340201 CLC,7340201 CLC
128,Kế toán (Gồm 2 chuyên ngành: Kế toán doanh ighiệp; Kế toán và kiểm soát],7340301,7340301
129,"Công nghệ kỵ thuật điện, điện tử (Gồm 4 chuyên igành: Hệ thống điện; Điện công nghiệp và dân dụng; Tự động hoá Hệ thống điện; Điều khiển kết nối nguồn phân tán)",7510301,7510301
130,"Công nghệ kỹ thuật điện, điện tử chất luợng cao (Gồm 2 chuyên ngành: Hệ thống điện chất lượng cao; Điện công nghiệp vả dân dụng chất lượng cao)",7510301_CLC,7510301_CLC
131,Quàn lý công nghiệp chất lượng cao,7510601 CLC,7510601 CLC
132,Công nghệ thông tin (Gồm 3 chuyên ngành: Công nghệ phần mêm; Quản trị và an ninh •nạng; Hệ thông thương mại điện tử),7480201,7480201
133,Công nghệ kỹ thuật điều khiển vả tự động hoá (Gôm 2 chuyên ngành: Công nqhệ kỵ thuật điêu khiển; Tự động hóa và điều khiển thiết bị điện công nghiệp),7510303,7510303
134,Công nghệ kỹ thuật điều khiển và tự động hoá chất lượng cao,7510303_CLC,7510303_CLC
135,Công nghệ kỹ thuật điện từ - viễn thông (Gồm 5 Dhuyên ngành: Điện từ viễn thông; Kỹ thuật điện từ; Điện từ và kỳ thuật máy tính; Điện từ và obot; Điện từ y tế),7510302,7510302
136,Công nghệ kỹ thuật điện tử - viễn thông chất ượng cao,7510302_CLC,7510302_CLC
137,Kỹ thuật nhiệt (Gồm 2 chuyên ngành: Nhiệt điện; Điện lạnh),7520115,7520115
138,Công nghệ kỹ thuật công trình xây dựng (Gồm 3 chuyên ngành: Xây dựng công trình điện; Xây dựng dân dụng và công nghiệp; Quàn lý dự án vá công trinh điện),7510102,7510102
139,Công nghệ kỹ thuật cơ khí (Gồm 2 chuyên ngành: Cơ khí chế tạo máy; Công nghệ chế tạo thiết bị điện),7510201,7510201
140,Công nghệ kỹ thuật cơ điện từ,7510203,7510203
141,Thương mại điện tử,7340122,7340122
142,Tài chính Ngân hàng,7340201,7340201
143,Công nghệ kỹ thuật điều khiển và tự động hoá,7510303,7510303
144,Kỹ thuật địa chất,QHT19,QHT19
145,Kỹ thuật trắc địa - bản đồ,7520503,7520503
146,Kỹ thuật mỏ,7520601,7520601
147,Kỹ thuật tuyển khoáng,7520607,7520607
148,Tài chính ngân hàng,7340201D,7340201D
149,Kỹ thuật Trắc địa-Bản đồ,7520503,7520503
150,,,
151,Quan hệ công chúng,QHX13,QHX13
152,Kiến trúc cảnh quan,7580102,7580102
153,Kỹ thuật xây dựng,7580201,7580201
154,7720301,7720301,7720301
155,Kiến trúc,7580101,7580101
156,Kỹ thuật công trình xây dựng,7580201,7580201
157,Giáo dục Tiểu học,7140202,7140202
158,Kinh tế phát triển,QHE01,QHE01
159,Kinh doanh thương mại,7340121,7340121
160,Công nghệ thông tin (đặc thù),7480201DT,7480201DT
161,Kinh doanh nông nghiệp,7620114,7620114
162,Quản trị dịch vụ du lịch và lữ hành (đặc thù),7810103DT,7810103DT
163,Tài chính - Ngân hàng,QHE41,QHE41
164,Kỹ thuật điện,7520201,7520201
165,Giáo dục tiểu học,7140202,7140202
166,Kỹ thuật xây dựng (Chuyên ngành Xây dựng dân dụng & công nghiệp),7580201,7580201
167,Giáo dục Mầm non,51140201,51140201
168,Giáo dục Chính trị,7140205,7140205
169,Sư phạm Toán học,7140209,7140209
170,Sư phạm Tin học,7140210,7140210
171,Sư phạm Vật lý,7140211,7140211
172,Sư phạm Hoá học,7140212,7140212
173,Sư phạm Sinh học,7140213,7140213
174,Sư phạm Ngữ văn,7140217,7140217
175,Sư phạm Lịch sử,7140218,7140218
176,Sư phạm Địa lý,7140219,7140219
177,Sư phạm Âm nhạc,7140221,7140221
178,Lịch sử,QHX08,QHX08
179,Văn học,7229030,7229030
180,Văn hoá học,7229040,7229040
181,Tâm lý học,QHX19,QHX19
182,Tâm lý học (Chất lượng cao),7310401CLC,7310401CLC
183,Địa lý học,7310501,7310501
184,Việt Nam học,7310630,7310630
185,Việt Nam học CLC,7310630CLC,7310630CLC
186,Báo chí,QHX01,QHX01
