,key,val,val
459,Các ngành đào tạo cao đẳng sư phạm,,
460,Các ngành đào tạo cao đẳng ngoài sư phạm,,
461,Tiếng Anh,6220206,6220206
462,Tiếng Trung Quốc,6220209,6220209
463,"Công nghệ KT Điện, ĐT",6510303,6510303
464,Nuôi trồng thủy sản,7620301,7620301
465,Các ngành đào tạo cao đẳng,,
466,Thiết kế công nghiệp,7210402,7210402
467,Kinh doanh quôc tế,7340120,7340120
468,Y đa khoa,7720101,7720101
469,Răng- Hàm -Mặt,7720501,7720501
470,Quản lý đô thị và công trình,7580106,7580106
471,Quản lý giáo dục,7140114,7140114
472,Thống kê,7460201,7460201
473,Điểm chuẩn theo kết quả thi THPTQG:,,
474,Giáo dục mâm non,7140201,7140201
475,Giáo duc Tiêu hoc,7140202,7140202
476,Giáo duc Chính tri,7140205,7140205
477,Giáo dục Thê chât,7140206,7140206
478,Sư phạm Ngừ văn,7140217,7140217
479,Sư phạm Tiêng Anh,7140231,7140231
480,Kinh tê,7310101,7310101
481,Kê toán,7340301,7340301
482,Sinh hoc,7420101,7420101
483,Hoá hoc,7440112,7440112
484,Địa lý tự nhiên,QHT10,QHT10
485,Toán hoc,7460101,7460101
486,Thông kê,7460201,7460201
487,Kỹ thuật phân mêm,7480103,7480103
488,Kỹ thuật điện tử - viên thông,7520207,7520207
489,Điểm chuẩn xét học bạ:,,
490,Sư phạm Lịch sử Địa lý,7140249,7140249
491,Sư phạm Toán học (hệ cao đẳng),51140209,51140209
492,Sư phạm Vật lý (hệ cao đẳng),51140211,51140211
493,Sư phạm Lịch sử (hệ cao đẳng),51140218,51140218
494,Sư phạm Toán,GD1,GD1
495,Hệ đại học,,
496,Đạo diễn sân khấu,7210227,7210227
497,Diễn viên kịch - điện ảnh,7210234,7210234
498,Đạo diễn điện ảnh - truyền hình,7210235,7210235
499,Quay phim,7210236,7210236
500,"Diễn viên kịch, điện ảnh - truyền hình",7210234,7210234
501,"Đạo diễn điển ảnh, truyền hình",7210235,7210235
502,Công nghệ kỹ thuật điện tử viễn thông,7510302,7510302
503,Công nghệ thông tin (chương trình đào tạo CNTT Việt Nhật),7480201-VJ,7480201-VJ
504,Công nghệ vật liệu,7510402,7510402
505,Kỹ thuật ô tô,7520130,7520130
506,Công nghệ truyền thông,7320106,7320106
507,Công nghệ kỹ thuật máy tính,7480108,7480108
508,Thương mại điện tử (Theo đặt hàng Doanh nghiệp),7340122_DT,7340122_DT
509,Kỹ thuật phần mềm (Theo đặt hàng Doanh nghiệp),7480103_DT,7480103_DT
510,Công nghệ kỹ thuật máy tính (Theo đặt hàng Doanh nghiệp),7480108_DT,7480108_DT
511,Công nghệ thông tin (Theo đặt hàng Doanh nghiệp),7480201_DT,7480201_DT
512,Công nghệ kỹ thuật điện tử - viễn thông (Liên kết với Đài Loan),7510302_FCU,7510302_FCU
513,Kinh tế đầu tư,7310104,7310104
514,Quản lý công,7340403,7340403
515,Sư phạm Tiếng Nga,7140232,7140232
516,Nhóm ngành Quản trị - Quản lý (Gồm 3 ngành: Quản trị nhân lực; Hệ thống thông tin quản lý; Quản trị văn phòng),73404,73404
517,Quản trị công nghệ truyền thông*,7340410,7340410
518,Truyền thông và mạng máy tính,7480102,7480102
519,Nhóm ngành Công nghệ thông tin và truyền thông (Gồm 2 ngành: Kỹ thuật phần mềm; Hệ thống thông tin quản lý),748,748
520,Mạng máy tính và Truyền thông dữ liệu,7480102,7480102
521,Nhóm ngành Quản trị - Quản lý (*) - Quản trị nhân lực - Quản trị văn phòng - Hệ thống thông tin quản lý,73404,73404
522,Quản trị công nghệ truyền thông,7340410,7340410
523,Thiết kế thời trang (hợp tác với Viện thời trang Mod’Art Paris – Pháp),7210404,7210404
524,Logistics và Quản lý chuỗi cung ứng (dự kiến),7510605,7510605
525,Ngôn ngữ Anh (hệ số 2 môn tiếng Anh) (*),7220201,7220201
526,Thanh nhạc,7210205,7210205
527,Khối ngành Toán - Tin học,,
528,Khối ngành Kinh tế - Quản lý,,
529,Quản trị dịch vụ du lịch - Lữ hành,7810103,7810103
530,Khối ngành Ngoại ngữ,,
531,Khối ngành Khoa học xã hội và nhân văn,,
532,Khối ngành Khoa học sức khỏe,,
533,Kỹ thuật tài nguyên nước,7580212,7580212
534,Kỹ thuật cấp thoát nước,7580213,7580213
535,Quản lý tổng hợp tài nguyên nước,7850195,7850195
536,Quản lý tài nguyên khoáng sản,7850196,7850196
537,Quản lý tài nguyên và môi trường biển đảo,7850197,7850197
538,Biển đổi khí hậu và phát triển bền vững,7440298,7440298
539,Kỹ thuật trắc địa Bản đồ,7520503,7520503
540,Quàn lý tài nguyên và môi trường biển đảo,7850197,7850197
541,Nông nghiệp,7620101,7620101
542,Lâm sinh,7620205,7620205
543,Khoa học & Quản lý môi trường (CTTT),7904492,7904492
544,Công nghệ thực phẩm (CTTT),7905419,7905419
545,Kinh tế nông nghiệp (CTTT),7906425,7906425
546,Quản lý thông tin,QHX14,QHX14
547,Kỹ thuật thực phẩm,7540102,7540102
548,Khoa học & Quản lý môi trường,7904492,7904492
549,Sư phạm tiếng anh,51140231,51140231
550,giáo dục tiểu học,51140202,51140202
551,SƯ phạm tin học,51140210,51140210
552,Sư phạm mỹ thuật,52140222,52140222
553,Sư phạm âm nhạc,51120221,51120221
554,Sư phạm mầm non,51140201,51140201
555,Giáo dục học,7140101,7140101
556,Sư phạm Vật Lý,7140211_A01,7140211_A01
557,Sư phạm Ngữ Văn,7140217_D14,7140217_D14
558,Sư phạm Lịch Sử,7140218_C03,7140218_C03
559,Sư phạm Địa Lý,7140219_D10,7140219_D10
560,Ngôn ngữ Anh -Chất lượng cao,F7220201,F7220201
561,Ngôn ngữ Trung Quốc (Chuyên ngành Trung - Anh),7220204A,7220204A
562,Việt Nam học (Chuyên ngành Du lịch và Quản lý du lịch),7310630Q,7310630Q
563,Việt Nam học (Chuyên ngành Du lịch và Quản lý du lịch) - Chất lượng cao,F7310630Q,F7310630Q
564,Quản trị kinh doanh -Chất lượng cao,F7340101,F7340101
565,Quản trị kinh doanh (Chuyên ngành Quản trị Marketing),7340101M,7340101M
566,Quản trị kinh doanh (Chuyên ngành Quản trị Marketing)- Chất lượng cao,F7340101M,F7340101M
567,Quản trị kinh doanh (Chuyên ngành Quản trị Nhà hàng - Khách sạn),7340101N,7340101N
568,Quản trị kinh doanh (Chuyên ngành Quản trị Nhà hàng - Khách sạn) -Chất lượng cao,F7340101N,F7340101N
569,Kinh doanh quốc tế -Chất lượng cao,F7340120,F7340120
570,Tài chính - Ngân hàng - Chất lượng cao,F7340201,F7340201
571,Kế toán - Chất lượng cao,F7340301,F7340301
572,Quan hệ lao động,7340408,7340408
573,Luật - Chất Lượng cao,F7380101,F7380101
574,Công nghệ sinh học (Chất lượng cao),F7420201,F7420201
575,Khoa học môi trường(Chất lượng cao),F7440301,F7440301
576,Khoa học máy tính- Chất lượng cao,F7480101,F7480101
577,Kỹ thuật phần mềm - Chất lượng cao,F7480103,F7480103
578,Kỹ thuật điện - Chất lượng cao,F7520201,F7520201
579,Kỹ thuật điện tử - viễn thông (Chất lượng cao),F7520207,F7520207
580,Kỹ thuật xây dựng (Chất lượng cao),F7580201,F7580201
581,Quản lý thể dục thể thao,7810301,7810301
582,Bảo hộ lao động,7850201,7850201
583,Ngôn ngữ Anh -Chương trình học 02 năm đầu tại Bảo Lộc,B7220201,B7220201
584,Quản trị kinh doanh (Chuyên ngành Quản trị Nhà hàng - Khách sạn) - Chương trình học 02 năm đầu tại Bảo Lộc,B7340101N,B7340101N
585,Luật - Chương trình học 02 năm đầu tại Bảo Lộc,B7380101,B7380101
586,Công nghệ sinh học - Chương trình học 02 năm đầu tại Bảo Lộc,B7420201,B7420201
587,Kỹ thuật phần mềm - Chương trình học 02 năm đầu tại Bảo Lộc,B7480103,B7480103
588,Ngôn ngữ Anh- Chương trình học 02 năm đầu tại Nha Trang,N7220201,N7220201
589,Quản trị kinh doanh (Chuyên ngành Quản trị Marketing)-Chương trình học 02 năm đầu tại Nha Trang,N7340101M,N7340101M
590,Quản trị kinh doanh (Chuyên ngành Quản trị Nhà hàng - Khách sạn) -Chương trình học 02 năm đầu tại Nha Trang,N7340101N,N7340101N
591,Kế toán -Chương trình học 02 năm đầu tại Nha Trang,N7340301,N7340301
592,Luật -Chương trình học 02 năm đầu tại Nha Trang,N7380101,N7380101
593,Ngôn ngữ Anh - Chương trình học 02 năm đầu tại Cà Mau,M7220201,M7220201
594,Kế toán - Chương trình học 02 năm đầu tại Cà Mau,M7340301,M7340301
595,Kỹ thuật điện - Chương trình học 02 năm đầu tại Cà Mau,M7520201,M7520201
596,Kỹ thuật điều khiển và tự động hóa -Chương trình học 02 năm đầu tại Cà Mau,M7520216,M7520216
597,Quản lý du lịch và giải trí (song bằng 2+2) Đại học khoa học và công nghệ quốc gia Penghu (Đài Loan),K7310630Q,K7310630Q
598,Quản trị kinh doanh (song bằng 2+2) Đại học kinh tế Praha (Cộng Hòa Séc),K7340101,K7340101
599,"Quản trị nhà hàng khách sạn (song bằng 2,5+1,5) Đại học Taylor’s (Malaysia)",K7340101N,K7340101N
600,Tài chính (song bằng 2+2) Đại học Fengchia (Đài Loan),K7340201,K7340201
601,"Kế toán (song bằng 3+1) Đại học West of England, Bristol (Vương Quốc Anh)",K7340301,K7340301
602,"Kỹ thuật điện – điện tử (song bằng 2,5+1,5) Đại học khoa học ứng dụng Saxion (Hà Lan)",K7520201,K7520201
603,Việt Nam học (CN Du lịch và Lữ hành),7310630,7310630
604,Quản trị kinh doanh (CN quản trị nhân sự),7340101,7340101
605,"Quan hệ lao động (CN Quản lý Quan hệ lao động, CN Hành vi tổ chức)",7340408,7340408
606,Quản lý thể dục thể thao (CN Kinh doanh thể thao và tổ chức sự kiện),7810301,7810301
607,Ngôn ngữ Trung Quốc (CN Trung - Anh),7220204A,7220204A
608,Việt Nam học (CN Du lịch và Quản lý du lịch),7310630Q,7310630Q
609,Quản trị kinh doanh (CN Quản trị Nhà hàng - Khách sạn),7340101N,7340101N
610,Golf,7810302,7810302
611,Ngôn ngữ Anh -Chương trình 02 năm đầu học tại Bảo Lộc,B7220201,B7220201
612,"Việt Nam học, Chuyên ngành: Du lịch và quản lý du lịch -Chương trình 02 năm đầu học tại Bảo Lộc",B7310630Q,B7310630Q
613,"Quản trị kinh doanh, Chuyên ngành: Quản trị nhà hàng - khách sạn -Chương trình 02 năm đầu học tại Bảo Lộc",B7340101N,B7340101N
614,Luật - Chương trình 02 năm đầu học tại Bảo Lộc,B7380101,B7380101
615,Kỹ thuật phần mềm - Chương trình 02 năm đầu học tại Bảo Lộc,B7480103,B7480103
616,Thiết kế đồ họa - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7210403,F7210403
617,Ngôn ngữ Anh -Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7220201,F7220201
618,Việt Nam học (Chuyên ngành: Du lịch và Quản lý du lịch)- Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7310630Q,F7310630Q
619,Quản trị kinh doanh (Chuyên ngành: Quản trị nguồn nhân lực) - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7340101,F7340101
620,Quản trị kinh doanh (Chuyên ngành: Quản trị nhà hàng - khách sạn) - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7340101N,F7340101N
621,Marketing -Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7340115,F7340115
622,Kinh doanh quốc tế - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7340120,F7340120
623,Tài chính - Ngân hàng - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7340201,F7340201
624,Kế toán - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7340301,F7340301
625,Luật - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7380101,F7380101
626,Công nghệ sinh học - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7420201,F7420201
627,Khoa học máy tính - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7480101,F7480101
628,Kỹ thuật phần mềm - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7480103,F7480103
629,Kỹ thuật điện -Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7520201,F7520201
630,Kỹ thuật điện tử - viễn thông - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7520207,F7520207
631,Kỹ thuật điều khiển và tự động hóa - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7520216,F7520216
632,Kỹ thuật xây dựng - Chất lượng cao giảng dạy bằng tiếng Anh - Việt,F7580201,F7580201
633,Ngôn ngữ Anh -Chất lượng cao giảng dạy 100% tiếng Anh,FA7220201,FA7220201
634,Quản trị kinh doanh (Chuyên ngành: Quản trị nhà hàng - khách sạn) - Chất lượng cao giảng dạy 100% tiếng Anh,FA7340101N,FA7340101N
635,Marketing - Chất lượng cao giảng dạy 100% tiếng Anh,FA7340115,FA7340115
636,Kế toán (chuyên ngành: Kế toán quốc tế) - Chất lượng cao giảng dạy 100% tiếng Anh,FA7340301,FA7340301
637,Công nghệ sinh học - Chất lượng cao giảng dạy 100% tiếng Anh,FA7420201,FA7420201
638,Khoa học máy tính - Chất lượng cao giảng dạy 100% tiếng Anh,FA7480101,FA7480101
639,Kỹ thuật phần mềm - Chất lượng cao giảng dạy 100% tiếng Anh,FA7480103,FA7480103
640,Kỹ thuật điều khiển và tự động hóa - Chất lượng cao giảng dạy 100% tiếng Anh,FA7520216,FA7520216
641,Kỹ thuật xây dựng - Chất lượng cao giảng dạy 100% tiếng Anh,FA7580201,FA7580201
642,Quản lý du lịch và giải trí (song bằng 2+2) - Chương trình liên kết Đại học khoa học-công nghệ quốc gia Penghu-Đài Loan,K7310630Q,K7310630Q
643,Quản trị kinh doanh (song bằng 2+2) - Chương trình liên kết Đại học kinh tế Praha-Cộng hòa Séc; Đại học Saimaa-Phần Lan,K7340101,K7340101
644,"Quản trị nhà hàng khách sạn (song bằng 2,5+1,5) -Chương trình liên kết Đại học Taylor’s-Malaysia; Chương trình liên kết (song bằng 2+2) Đại học Southern Cross-Úc",K7340101N,K7340101N
645,Quản trị kinh doanh quốc tế (đơn bằng 3+1) - Chương trình liên kết Đại học khoa học và công nghệ Lunghwa-Đài Loan,K7340120,K7340120
646,Tài chính (song bằng 2+2) -Chương trình liên kết Đại học Fengchia-Đài Loan,K7340201,K7340201
647,Tài chính (đơn bằng 3+1) -Chương trình liên kết Đại học khoa học và công nghệ Lunghwa-Đài Loan; Tài chính và kiểm soát (đơn bằng 3+1) -Chương trình liên kết Đại học khoa học ứng dụng Saxion-Hà Lan,K7340201S,K7340201S
648,"Kế toán (song bằng 3+1) - Chương trình liên kết Đại học West of England, Bristol-Vương quốc Anh",K7340301,K7340301
649,Khoa học máy tính & công nghệ tin học (đơn bằng 2+2) - Chương trình liên kết Đại học khoa học và công nghệ Lunghwa-Đài Loan; Đại học kỹ thuật Ostrava-Cộng hòa Czech,K7480101,K7480101
650,"Kỹ thuật điện – điện tử (song bằng 2,5+1,5) - Chương trình liên kết Đại học khoa học ứng dụng Saxion-Hà Lan",K7520201,K7520201
651,Ngôn ngữ Anh -Chương trình 02 năm đầu học tại Nha Trang,N7220201,N7220201
652,"Quản trị kinh doanh, Chuyên ngành: Quản trị nhà hàng - khách sạn -Chương trình 02 năm đầu học tại Nha Trang",N7340101N,N7340101N
653,Marketing -Chương trình 02 năm đầu học tại Nha Trang,N7340115,N7340115
654,Kế toán -Chương trình 02 năm đầu học tại Nha Trang,N7340301,N7340301
655,Luật -Chương trình 02 năm đầu học tại Nha Trang,N7380101,N7380101
656,Ngôn ngữ Trung Quốc (Chuyên ngành: Trung - Anh),7220204A,7220204A
657,Việt Nam học (Chuyên ngành: Du lịch và quản lý du lịch),7310630Q,7310630Q
658,Quản trị kinh doanh (Chuyên ngành: Quản trị nhà hàng - khách sạn),7340101N,7340101N
659,Y khoa (liên thông),7720101LT,7720101LT
660,Dược học (liên thông),7720201LT,7720201LT
661,Khoa học quản lý,QHX07,QHX07
662,Toán tin,QHT02,QHT02
663,Hoá dược,7720203CLC,7720203CLC
664,Quản lý tài nguyên và Môi trường,7760101,7760101
665,Đồ hoạ,7210104,7210104
666,Piano,7210208,7210208
667,Văn hóa học,7229040,7229040
668,CĐ Giáo dục mầm non,5140201,5140201
669,Âm nhạc học,7210201,7210201
670,Biểu diễn nhạc cụ truyền thống,7210210,7210210
671,Ngôn ngữ Khmer,7220106,7220106
672,Văn hoá các dân tộc thiểu số Việt Nam,7220112,7220112
673,Khoa học vật liệu,QHT04,QHT04
674,Sư phạm Tiếng Khmer,7140226,7140226
675,Kỹ thuật XD Cầu đường bộ (ngành Kỹ thuật xây dựng CTGT),GHA-01,GHA-01
676,Kỹ thuật XD Đường bộ (ngành Kỹ thuật xây dựng CTGT),GHA-02,GHA-02
677,Kỹ thuật XD Cầu hầm (ngành Kỹ thuật xây dựng CTGT),GHA-03,GHA-03
678,Kỹ thuật XD Đường sắt (ngành Kỹ thuật xây dựng CTGT),GHA-04,GHA-04
679,Kỹ thuật XD Cầu - Đường sắt (ngành Kỹ thuật xây dựng CTGT),GHA-05,GHA-05
680,Kỹ thuật XD Cầu - Đường ô tô - Sân bay (ngành Kỹ thuật xây dựng CTGT),GHA-06,GHA-06
681,Kỹ thuật XD Đường ô tô - Sân bay (ngành Kỹ thuật xây dựng CTGT),GHA-07,GHA-07
682,Công trình giao thông công chính (ngành Kỹ thuật xây dựng CTGT),GHA-08,GHA-08
683,Công trình giao thông đô thị (ngành Kỹ thuật xây dựng CTGT),GHA-09,GHA-09
684,Tự động hóa thiết kế cầu đường (ngành Kỹ thuật xây dựng CTGT),GHA-10,GHA-10
685,Kỹ thuật giao thông đường bộ (ngành Kỹ thuật xây dựng CTGT),GHA-11,GHA-11
686,Nhóm chuyên ngành: Kỹ thuật XD Đường sắt đô thị; Kỹ thuật XD Đường hầm và metro; Địa kỹ thuật CTGT; Kỹ thuật GIS và trắc địa CT (ngành Kỹ thuật xây dựng CTGT),GHA-12,GHA-12
687,Kỹ thuật xây dựng công trình thủy,7580202,7580202
688,Nhóm chuyên ngành: Công nghệ chế tạo cơ khí; Tự động hóa thiết kế cơ khí; Cơ điện tử (ngành Kỹ thuật cơ khí),GHA-16,GHA-16
689,Cơ khí ôtô (ngành Kỹ thuật cơ khí),GHA-17,GHA-17
690,Nhóm chuyên ngành: Máy xây dựng; Cơ giới hóa XD cầu đường; Cơ khí giao thông công chính; Kỹ thuật máy động lực; Đầu máy - toa xe; Tàu điện - metro (ngành Kỹ thuật cơ khí),GHA-18,GHA-18
691,Kinh tế vận tải,7840104H,7840104H
692,Khai thác vận tải,7840101,7840101
693,Công nghệ kỹ thuật giao thông,7510104VP,7510104VP
694,Kỹ thuật xây dựng công trình giao thông (Chương trình CLC: Cầu - Đường bộ Việt - Anh; Cầu - Đường bộ Việt - Pháp; Công trình GTĐT Việt - Nhật; Chương trình tiên tiến),GHA-32,GHA-32
695,Kỹ thuật xây dựng (Chương trình CLC: Vật liệu và Công nghệ Việt - Pháp),GHA-33,GHA-33
696,Kinh tế xây dựng (Chương trình CLC: Kinh tế xây dựng công trình Giao thông Việt - Anh),GHA-34,GHA-34
697,Kế toán (Chương trình CLC: Kế toán tổng hợp Việt - Anh),GHA-35,GHA-35
698,CƠ SỞ PHÍA BẮC,,
699,Kỹ thuật xây dựng (gồm các chuyên ngành: Xây dựng dân dụng và công nghiệp; Kết cấu xây dựng; Kỹ thuật hạ tầng đô thị; Vật liệu và công nghệ xây dựng),GHA-15,GHA-15
700,Ngành kĩ thuật cơ khí (nhóm kĩ thuật cơ khí gồm các chuyên ngành: Công nghệ chế tạo cơ khí; Tự động hóa thiết kế cơ khí; Cơ điện tử,GHA-16,GHA-16
701,"Ngành Quản trị kinh doanh (gồm 4 chuyên ngành: Quản trị doanh nghiệp xây dựng, Quản trị doanh nghiệp Bưu chính - Viễn thông, Quản trị kinh doanh giao thông vận tải, Quản trị Logistics)",GHA-01,GHA-01
702,Ngành Kế toán (chuyên ngành Kế toán tổng hợp),GHA-02,GHA-02
703,Ngành Kinh tế (chuyên ngành Kinh tế Bưu chính - Viễn thông),GHA-03,GHA-03
704,"Ngành Khai thác vận tải (gồm 5 chuyên ngành: Khai thác vận tải đường sắt đô thị, Khai thác vận tải đa phương thức,Vận tải - Thương mại quốc tế, Qui hoạch và quản lý GTVT đô thị, Logistics)",GHA-04,GHA-04
705,"Ngành Kinh tế vận tải (gồm 3 chuyên ngành: Kinh tế vận tải ô tô, Kinh tế vận tải đường sắt, Kinh tế vận tải và du lịch)",GHA-05,GHA-05
706,Ngành Toán ứng dụng (chuyên ngành Toán - Tin ứng dụng),GHA-06,GHA-06
707,Ngành Công nghệ thông tin,7480201,7480201
708,Ngành Công nghệ kỹ thuật giao thông (chuyên ngành Kỹ thuật an toàn giao thông),GHA-08,GHA-08
709,Ngành Kỹ thuật môi trường (chuyên ngành Kỹ thuật môi trường giao thông),GHA-09,GHA-09
710,"Ngành Kỹ thuật cơ khí (gồm 2 chuyên ngành: Công nghệ chế tạo cơ khí, Tự động hóa thiết kế cơ khí)",GHA-10,GHA-10
711,Ngành Kỹ thuật Cơ điện tử (chuyên ngành Cơ điện tử),GHA-11,GHA-11
712,"Ngành Kỹ thuật nhiệt (gồm 2 chuyên ngành: Kỹ thuật nhiệt lạnh, Điều hòa không khí và thông gió công trình xây dựng)",GHA-12,GHA-12
713,Ngành Kỹ thuật cơ khí động lực (Chuyên ngành Máy xây dựng),GHA-13,GHA-13
714,"Ngành Kỹ thuật cơ khí động lực (Nhóm chuyên ngành: Cơ giới hóa xây dựng cầu đường, Cơ khí giao thông công chính, Kỹ thuật máy động lực, Đầu máy - toa xe, Tàu điện - metro)",GHA-14,GHA-14
715,Ngành Kỹ thuật ô tô (chuyên ngành Cơ khí ô tô),GHA-15,GHA-15
716,"Ngành Kỹ thuật điện (gồm 2 chuyên ngành: Trang bị điện trong công nghiệp và giao thông, Hệ thống điện giao thông và công nghiệp)",GHA-16,GHA-16
717,"Ngành Kỹ thuật điện tử - viễn thông (gồm 3 chuyên ngành: Kỹ thuật điện tử và tin học công nghiệp, Kỹ thuật thông tin và truyền thông, Kỹ thuật viễn thông)",GHA-17,GHA-17
718,"Ngành Kỹ thuật điều khiển và tự động hoá (gồm 2 chuyên ngành: Kỹ thuật điều khiển và tự động hóa giao thông, Tự động hóa)",GHA-18,GHA-18
719,"Ngành Kỹ thuật xây dựng (gồm 4 chuyên ngành: Xây dựng dân dụng và công nghiệp, Kết cấu xây dựng, Kỹ thuật hạ tầng đô thị, Vật liệu và công nghệ xây dựng)",GHA-19,GHA-19
720,Ngành Kỹ thuật xây dựng công trình thủy,GSA-15,GSA-15
721,Ngành Kỹ thuật xây dựng công trình giao thông (Chuyên ngành Cầu đường bộ),GHA-21,GHA-21
722,"Ngành Kỹ thuật xây dựng công trình giao thông (Nhóm chuyên ngành: Đường bộ, Kỹ thuật giao thông đường bộ)",GHA-22,GHA-22
723,"Ngành Kỹ thuật xây dựng công trình giao thông (Nhóm chuyên ngành: Cầu hầm, Đường hầm và metro)",GHA-23,GHA-23
724,"Ngành Kỹ thuật xây dựng công trình giao thông (Nhóm chuyên ngành: Đường sắt, Cầu-Đường sắt, Đường sắt đô thị)",GHA-24,GHA-24
725,"Ngành Kỹ thuật xây dựng công trình giao thông (Nhóm chuyên ngành: Đường ô tô - Sân bay, Cầu - Đường ô tô - Sân bay)",GHA-25,GHA-25
726,"Ngành Kỹ thuật xây dựng công trình giao thông (Nhóm chuyên ngành: Công trình giao thông đô thị, Công trình giao thông công chính )",GHA-26,GHA-26
727,"Ngành Kỹ thuật xây dựng công trình giao thông (Nhóm chuyên ngành: Tự động hóa thiết kế cầu đường, Địa kỹ thuật công trình giao thông, Kỹ thuật GIS và trắc địa công trình)",GHA-27,GHA-27
728,"Ngành Kinh tế xây dựng (gồm 2 chuyên ngành: Kinh tế quản lý khai thác cầu đường, Kinh tế xây dựng công trình giao thông)",GHA-28,GHA-28
729,Ngành Quản lý xây dựng,GSA-15,GSA-15
730,Ngành Kỹ thuật xây dựng công trình giao thông (Chương trình chất lượng cao Cầu - Đường bộ Việt – Pháp),GHA-30,GHA-30
731,Ngành Kỹ thuật xây dựng công trình giao thông (Chương trình chất lượng cao Cầu - Đường bộ Việt – Anh),GHA-31,GHA-31
732,Ngành Kỹ thuật xây dựng công trình giao thông (Chương trình chất lượng cao Công trình Giao thông đô thị Việt - Nhật),GHA-32,GHA-32
733,Ngành Kỹ thuật xây dựng (Chương trình tiên tiến Kỹ thuật xây dựng công trình giao thông),GHA-33,GHA-33
734,Ngành Kỹ thuật xây dựng (Chương trình chất lượng cao Vật liệu và Công nghệ Xây dựng Việt – Pháp),GHA-34,GHA-34
735,Ngành Kinh tế xây dựng (Chương trình chất lượng cao Kinh tế xây dựng công trình Giao thông Việt - Anh),GHA-35,GHA-35
736,Ngành Kế toán (Chương trình chất lượng cao Kế toán tổng hợp Việt - Anh),GHA-36,GHA-36
737,"Nhóm Kỹ thuật cơ khí, cơ khí động lực",GSA-01,GSA-01
738,Nhóm Kỹ thuật ô tô,GSA-02,GSA-02
739,Ngành Kỹ thuật điện,GSA-03,GSA-03
740,Ngành Kỹ thuật điện tử - viễn thông,GSA-04,GSA-04
741,Ngành Kỹ thuật điều khiển và tự động hoá,GSA-05,GSA-05
742,Ngành Kế toán,GSA-07,GSA-07
743,Ngành Kinh tế,GSA-08,GSA-08
744,Ngành Kinh tế vận tải,7840104,7840104
745,Ngành Kinh tế xây dựng,GSA-10,GSA-10
746,Ngành Kỹ thuật xây dựng,7580201H,7580201H
747,Ngành Quản trị kinh doanh,52340101,52340101
748,Ngành Khai thác vận tải,GSA-13,GSA-13
749,Ngành Kỹ thuật xây dựng công trình giao thông,7580205,7580205
750,CƠ SỞ PHÍA NAM,,
751,"Nhóm Kỹ thuật cơ khí (nhóm Kỹ thuật cơ khí, cơ khí động lực gồm các Chuyên ngành: Máy xây dựng, Cơ điện tử)",GSA-01,GSA-01
752,Ngành Kỹ thuật cơ khí (Nhóm Kỹ thuật ô tô: Chuyên ngành Cơ khí ô tô),GSA-02,GSA-02
753,Ngành Kỹ thuật điện (Chuyên ngành Trang bị điện trong Công nghiệp và Giao thông),GSA-03,GSA-03
754,Ngành Kỹ thuật điện tử - viễn thông (Gồm các chuyên ngành: Kỹ thuật viễn thông; Điện tử và tin học công nghiệp),GSA-04,GSA-04
755,Ngành Kỹ thuật điều khiển và tự động hoá (gồm các chuyên ngành: Tự động hóa; Giao thông thông minh - ITS),GSA-05,GSA-05
756,Ngành Kế toán (Chuyên ngành kế toán tổng hợp),GSA-07,GSA-07
757,Ngành Kinh tế (chuyên ngành kinh tế bưu chính viễn thông),GSA-08,GSA-08
758,Ngành Kinh tế vận tải (chuyên ngành Kinh tế vận tải và du lịch),GSA-09,GSA-09
759,Ngành Kinh tế xây dựng (gồm các chuyên ngành: Kinh tế xây dựng công trình giao thông; Kinh tế quản lý khai thác cầu đường),GSA-10,GSA-10
760,Ngành Kỹ thuật xây dựng (gồm các chuyên ngành: Xây dựng dân dụng và công nghiệp; Kỹ thuật hạ tầng đô thị),GSA-11,GSA-11
761,Ngành Quản trị kinh doanh (chuyên ngành quản trị kinh doanh giao thông vận tải),GSA-12,GSA-12
762,Ngành Khai thác vận tải (gồm các chuyên ngành: Quy hoạch và quản lý GTVT đô thị; Logistics),GSA-13,GSA-13
763,Ngành Kỹ thuật xây dựng công trình giao thông (gồm các chuyên ngành: Cầu đường bộ; Đường bộ; Cầu hầm; Công trình giao thông công chính; Công trình giao thông đô thị…),GSA-14,GSA-14
